#int_mass winds winds_init
0.5 2.65950544E-04 2.65953712E-04
0.6 3.94552199E-04 3.93345934E-04
0.7 4.55631459E-04 4.51116910E-04
0.8 5.14102015E-04 5.07065584E-04
0.9 5.68718924E-04 5.59757201E-04
1.0 6.22183343E-04 6.11737940E-04
1.1 6.51850515E-04 6.42678303E-04
1.2 7.28255667E-04 7.16141051E-04
1.3 7.79953036E-04 7.67524033E-04
1.4 8.32630460E-04 8.20070017E-04
1.5 8.89624710E-04 8.77035141E-04
1.6 9.41293255E-04 9.28843991E-04
1.7 9.63222355E-04 9.50948195E-04
1.8 9.78123315E-04 9.66068820E-04
1.9 9.91824792E-04 9.80009746E-04
2.0 1.00434115E-03 9.92759700E-04
