#wind_eta winds winds_init
0.5 5.46692423E-04 5.46697471E-04
0.6 6.19857555E-04 6.19860741E-04
0.7 6.76643034E-04 6.76653025E-04
0.8 7.33010789E-04 7.33034262E-04
0.9 7.67280496E-04 7.62747066E-04
1.0 8.05571780E-04 7.97454972E-04
1.1 8.49428244E-04 8.38507729E-04
1.2 8.68626380E-04 8.58012729E-04
1.3 9.22202131E-04 9.08482658E-04
1.4 9.57534709E-04 9.43308091E-04
1.5 9.90062182E-04 9.75916757E-04
1.6 1.02094568E-03 1.00720164E-03
1.7 1.04322278E-03 1.02974510E-03
1.8 1.06242386E-03 1.04919340E-03
1.9 1.07872274E-03 1.06570977E-03
2.0 1.09374075E-03 1.08098978E-03
