#int_mass winds winds_init
0.5 1.60445925E-97 8.86229314E-99
0.6 1.35225766E-27 1.31073447E-98
0.7 3.32151716E-27 1.50324290E-98
0.8 6.42096501E-27 1.68967893E-98
0.9 1.22092438E-26 1.86526158E-98
1.0 2.39000531E-26 2.03847538E-98
1.1 1.79658717E-26 2.14157699E-98
1.2 7.40160779E-26 2.38637463E-98
1.3 9.96677537E-26 2.55759655E-98
1.4 1.23644753E-25 2.73269391E-98
1.5 1.42670796E-25 2.92251702E-98
1.6 1.51344549E-25 3.09515805E-98
1.7 1.53096468E-25 3.16881520E-98
1.8 1.48100497E-25 3.21920119E-98
1.9 1.42603586E-25 3.26565611E-98
2.0 1.38068051E-25 3.30814239E-98
