#wind_eta winds winds_init
0.5 1.31138520E-60 1.82174304E-98
0.6 1.19706388E-61 2.06554274E-98
0.7 2.62881954E-40 2.25478991E-98
0.8 1.29233498E-39 2.44266736E-98
0.9 4.54104682E-27 2.54167841E-98
1.0 1.30978873E-26 2.65733449E-98
1.1 2.89883612E-26 2.79413332E-98
1.2 2.98765169E-26 2.85912923E-98
1.3 9.61722897E-26 3.02730861E-98
1.4 1.43665609E-25 3.14335632E-98
1.5 1.74293764E-25 3.25201717E-98
1.6 1.91018880E-25 3.35626682E-98
1.7 1.95732864E-25 3.43138767E-98
1.8 1.92190900E-25 3.49619466E-98
1.9 1.87603407E-25 3.55123165E-98
2.0 1.81676843E-25 3.60214875E-98
