#wind_eta winds winds_init
0.5 9.53351590E-98 1.83725023E-98
0.6 1.13576385E-97 2.08312521E-98
0.7 1.10182872E-97 2.27398331E-98
0.8 9.47830545E-98 2.46346002E-98
0.9 1.04068969E-97 2.56331389E-98
1.0 1.24258841E-97 2.67995446E-98
1.1 1.73178180E-95 2.81791776E-98
1.2 9.59344108E-96 2.88346693E-98
1.3 5.88546223E-83 3.05307790E-98
1.4 4.37150906E-81 3.17011344E-98
1.5 1.66766328E-81 3.27969924E-98
1.6 7.65409198E-82 3.38483629E-98
1.7 6.52950015E-82 3.46059660E-98
1.8 9.78596802E-81 3.52595524E-98
1.9 5.36165712E-82 3.58146072E-98
2.0 2.46734685E-81 3.63281124E-98
