#int_mass winds winds_init
0.5 8.67807603E-98 9.93810206E-99
0.6 1.50720979E-67 1.46984677E-98
0.7 1.45849924E-69 1.68572413E-98
0.8 9.19207437E-67 1.89479195E-98
0.9 9.65659294E-66 2.09168887E-98
1.0 8.64342950E-67 2.28592940E-98
1.1 5.94112516E-65 2.40154669E-98
1.2 1.91087042E-56 2.67606073E-98
1.3 1.29008821E-55 2.86806757E-98
1.4 4.91212881E-55 3.06442029E-98
1.5 2.14061561E-54 3.27728636E-98
1.6 1.37888408E-53 3.47088458E-98
1.7 5.53984654E-53 3.55348310E-98
1.8 1.46128122E-52 3.60998553E-98
1.9 2.52250239E-52 3.66207969E-98
2.0 9.20084286E-52 3.70972345E-98
