#wind_eta winds winds_init
0.5 2.08336353E-98 1.82174304E-98
0.6 6.46391964E-98 2.06554274E-98
0.7 1.15876509E-97 2.25478991E-98
0.8 1.65012385E-97 2.44266736E-98
0.9 1.94563998E-97 2.54167841E-98
1.0 2.07539790E-97 2.65733449E-98
1.1 2.51211473E-97 2.79413332E-98
1.2 2.99915380E-97 2.85912923E-98
1.3 3.19645227E-97 3.02730861E-98
1.4 3.58018562E-97 3.14335632E-98
1.5 3.96082561E-97 3.25201717E-98
1.6 3.96195319E-97 3.35626682E-98
1.7 4.57440259E-97 3.43138767E-98
1.8 4.71521440E-97 3.49619466E-98
1.9 4.55566470E-97 3.55123165E-98
2.0 4.87232553E-97 3.60214875E-98
