#int_mass winds winds_init
0.5 1.65141766E-05 1.65141766E-05
0.6 2.48968705E-05 2.44244916E-05
0.7 2.97150837E-05 2.80117327E-05
0.8 3.41506694E-05 3.14858196E-05
0.9 3.81902230E-05 3.47576621E-05
1.0 4.20213737E-05 3.79853632E-05
1.1 4.34443327E-05 3.99065796E-05
1.2 4.92046280E-05 4.44681884E-05
1.3 5.25995377E-05 4.76587723E-05
1.4 5.60230571E-05 5.09215719E-05
1.5 5.96911899E-05 5.44587743E-05
1.6 6.29820909E-05 5.76758022E-05
1.7 6.44039174E-05 5.90483445E-05
1.8 6.53741221E-05 5.99872472E-05
1.9 6.62643143E-05 6.08528975E-05
2.0 6.70647240E-05 6.16445954E-05
